NUM. ORDEM,NOME,DATA NASCIMENTO,IDADE,FAIXA,GÊNERO,ESTADO CIVIL,CIDADE,Bairro,Profissão,FILHOS,CPF,NPS,Tipo Cliente,pofem29633@1heizi.com
68,LUIS FERNANDO FRANCISCO MENDES,8/10/1969,52,maior que 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Araxá,Promotor de Vendas,2,99068,10,,pofem29633@1heizi.com
69,MARCOS PEREIRA SILVA,5/1/1958,64,maior que 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Jardim Tavares,Vendedor (a),3,99069,6,,pofem29633@1heizi.com
74,RAYANE DE ALMEIDA,11/18/1978,43,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Jenipapo,comerciante,1,99074,6,,pofem29633@1heizi.com
84,ALLAN COSTA,9/13/1955,66,maior que 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Centro,Vendedor (a),4,99084,5,,pofem29633@1heizi.com
147,ABNER Alves,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Bairro das Nações,aposentado,0,,2,,pofem29633@1heizi.com
148,1088 Pinto,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Jeremias,aposentado,0,,4,,pofem29633@1heizi.com
217,ABIDAN Castro,7/24/1971,50,31 a 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Monte Santo,Gestão Pública,0,,6,,pofem29633@1heizi.com
232,ADEVALDO Martins,7/14/1966,55,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Alto Branco,aposentado,1,,9,,pofem29633@1heizi.com
242,ADIB Cavalcanti,1/2/1962,60,maior que 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Lauritzen,Vendedor (a),3,,8,,pofem29633@1heizi.com
272,ACTON Araújo,8/16/1983,38,31 a 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Jardim Tavares,Gastronomia,2,,9,,pofem29633@1heizi.com
273,ACURCIO Carvalho,1/7/1977,45,31 a 50 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Jenipapo,Gestão Comercial,3,,6,,pofem29633@1heizi.com
274,ACELINO Oliveira,6/8/1998,23,18 a 30 anos,MASCULINO,CASADO,CAMPINA_GRANDE,Louzeiro,Gestão de Recursos Humanos,1,,7,,pofem29633@1heizi.com
282,ACRISIO Santos,10/23/1990,31,31 a 50 anos,MASCULINO,DIVORCIADO,CAMPINA_GRANDE,Centro,Marketing,2,,4,,pofem29633@1heizi.com
314,ABIATAR Moura,6/27/1985,36,31 a 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Jenipapo,Personal Treiner,3,,7,,pofem29633@1heizi.com
331,ABIDAO Campos,6/3/1972,49,31 a 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Novo Bodocongó,Ciências Atuariais,0,,1,,pofem29633@1heizi.com
334,ABIDENOR Cardoso,6/11/1969,52,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Palmeira,Comércio Exterior,1,,5,,pofem29633@1heizi.com
357,ACSEL Rodrigues,1/16/1961,61,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Jardim Tavares,Fonoaudiologia,0,,7,,pofem29633@1heizi.com
358,AKSON Nascimento,11/5/1967,54,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Jenipapo,Gerontologia,0,,7,,pofem29633@1heizi.com
359,5973 FIALHO,5/4/1960,61,maior que 50 anos,MASCULINO,SOLTEIRO,CAMPINA_GRANDE,Monte Santo,Gestão Desportiva e de Lazer,2,,2,,pofem29633@1heizi.com
365,18895 Monteiro,1/29/1992,29,18 a 30 anos,MASCULINO,VIÚVO,CAMPINA_GRANDE,Conceição,Vendedor (a),0,,0,,pofem29633@1heizi.com
389,ACRISIO Oliveira,7/10/1989,32,31 a 50 anos,MASCULINO,VIÚVO,CAMPINA_GRANDE,Araxá,Vendedor (a),1,,2,,pofem29633@1heizi.com
427,ACSA DORES SANTOS,4/12/1986,35,31 a 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Novo Bodocongó,Vendedor (a),1,,9,,pofem29633@1heizi.com
428,2085 Pereira,8/14/1985,36,31 a 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Bairro das Nações,Vendedor (a),0,,3,,pofem29633@1heizi.com
430,ADAIR Mendes,8/29/1984,37,31 a 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Cidade Juracy Palhano,Vendedor (a),0,,3,,pofem29633@1heizi.com
436,ADJAIR Ribeiro,10/1/1983,38,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Araxá,Vendedor (a),3,,9,,pofem29633@1heizi.com
448,ACUCENA Fernandes,11/3/1977,44,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Jeremias,Vendedor (a),2,,1,,pofem29633@1heizi.com
451,5583 MENDES JÚNIOR,4/27/1977,44,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Palmeira,Vendedor (a),3,,2,,pofem29633@1heizi.com
458,ACRISIA Costa,2/15/1976,45,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Alto Branco,Hotelaria,0,,8,,pofem29633@1heizi.com
461,ACSSA Lima,4/12/1975,46,31 a 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Jardim Continental,Negócios Imobiliários,3,,1,,pofem29633@1heizi.com
470,ABIDA Dias,6/1/1972,49,31 a 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Louzeiro,Vendedor (a),0,,2,,pofem29633@1heizi.com
472,5973 Gomes,7/27/1971,50,31 a 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Lauritzen,Vendedor (a),0,,4,,pofem29633@1heizi.com
486,3696 Rocha,11/7/1965,56,maior que 50 anos,FEMININO,CASADO,CAMPINA_GRANDE,Centro,Bancário,2,,10,,pofem29633@1heizi.com
489,ADIANA Freitas,5/10/1965,56,maior que 50 anos,FEMININO,DIVORCIADO,CAMPINA_GRANDE,Jardim Continental,Empresário,2,,2,,pofem29633@1heizi.com
490,ADIANE Barbosa,8/11/1963,58,maior que 50 anos,FEMININO,DIVORCIADO,CAMPINA_GRANDE,Jardim Tavares,Personal Treiner,0,,3,,pofem29633@1heizi.com
494,ACSIA Almeida,7/21/1961,60,maior que 50 anos,FEMININO,DIVORCIADO,CAMPINA_GRANDE,Cidade Juracy Palhano,Vendedor (a),1,,8,,pofem29633@1heizi.com
495,ABEL Barros,1/23/1967,55,maior que 50 anos,FEMININO,SOLTEIRO,CAMPINA_GRANDE,Cuités,aposentado,1,,9,,pofem29633@1heizi.com
51,CARLOS JANDEILSON BRAGA,4/18/1991,30,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Santa Genoveva,Balconista,0,99051,3,,pofem29633@1heizi.com
106,JOSE SOARES RAMOS,7/7/1989,32,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Goiânia 2,Empresário,0,99106,4,,pofem29633@1heizi.com
114,MANOEL DANTAS,4/2/1968,53,maior que 50 anos,MASCULINO,DIVORCIADO,GOIANA,Maria Rosa,professor,2,99114,7,,pofem29633@1heizi.com
124,ROBSON BRITO NETO,1/26/1947,75,maior que 50 anos,MASCULINO,CASADO,GOIANA,Progresso,aposentado,2,99124,2,,pofem29633@1heizi.com
130,ADNAEL Souza,10/4/2000,20,18 a 30 anos,MASCULINO,CASADO,GOIANA,Jardim Gramado,Personal Treiner,2,,8,,pofem29633@1heizi.com
133,ABRELINO Cavalcanti,7/12/1940,82,maior que 50 anos,MASCULINO,CASADO,GOIANA,Perim,aposentado,3,,6,,pofem29633@1heizi.com
142,ABSOLON Mendes,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Residencial Itália,aposentado,0,,1,,pofem29633@1heizi.com
144,ABSOLON Barros,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Santa Genoveva,aposentado,0,,9,,pofem29633@1heizi.com
149,149 Araújo,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Goiânia 2,aposentado,0,,9,,pofem29633@1heizi.com
150,ADRIAN Alves,1/23/1967,55,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Morada dos Sonhos,aposentado,1,,8,,pofem29633@1heizi.com
152,ADNEI Pereira,2/4/1960,62,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Jardim Santa Cecília,aposentado,1,,9,,pofem29633@1heizi.com
160,ABISAEL Fernandes,11/21/1993,27,18 a 30 anos,MASCULINO,CASADO,GOIANA,Granja Cruzeiro do Sul,Balconista,1,,2,,pofem29633@1heizi.com
161,32296 Gomes,10/12/1993,28,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Maria Rosa,Estudante,1,,4,,pofem29633@1heizi.com
165,ABRELINO Campos,8/20/1990,31,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Progresso,Vendedor (a),1,,1,,pofem29633@1heizi.com
174,8205 Cavalcanti,10/1/1986,35,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Urias Magalhães,Vendedor (a),0,,6,,pofem29633@1heizi.com
180,ABSAEL Cardoso,8/26/1985,36,31 a 50 anos,MASCULINO,CASADO,GOIANA,Residencial Balneário,Vendedor (a),1,,4,,pofem29633@1heizi.com
187,ABNADABE Silva,4/29/1983,38,31 a 50 anos,MASCULINO,CASADO,GOIANA,Jardim Diamantina,Gestão de Recursos Humanos,2,,4,,pofem29633@1heizi.com
189,ABRANTES Barbosa,11/8/1982,39,31 a 50 anos,MASCULINO,CASADO,GOIANA,Parque das Flores,Vendedor (a),0,,5,,pofem29633@1heizi.com
190,ABIMAEL Pinto,5/1/1982,39,31 a 50 anos,MASCULINO,CASADO,GOIANA,Sevene,Vendedor (a),0,,1,,pofem29633@1heizi.com
193,ADSON Freitas,2/1/1981,40,31 a 50 anos,MASCULINO,CASADO,GOIANA,São Geraldo,Hotelaria,3,,8,,pofem29633@1heizi.com
198,ABMAEL DORES SANTOS,6/7/1979,42,31 a 50 anos,MASCULINO,CASADO,GOIANA,Itatiaia,Vendedor (a),2,,4,,pofem29633@1heizi.com
199,ABRAHAM Carvalho,3/16/1979,42,31 a 50 anos,MASCULINO,CASADO,GOIANA,Maria Lourença,Vendedor (a),2,,7,,pofem29633@1heizi.com
208,ADMARIO GAUDINO,5/25/1975,46,31 a 50 anos,MASCULINO,CASADO,GOIANA,Jaó,Comércio Exterior,3,,7,,pofem29633@1heizi.com
209,ACAIO Castro,5/20/1975,46,31 a 50 anos,MASCULINO,CASADO,GOIANA,Vale dos Sonhos,Defesa e Gestão Estratégica Internacional,0,,7,,pofem29633@1heizi.com
211,ABISALAO Rodrigues,1/25/1974,48,31 a 50 anos,MASCULINO,CASADO,GOIANA,Atalaia,Gestão Comercial,2,,10,,pofem29633@1heizi.com
214,ABNADAB CUNHA,3/2/1973,48,31 a 50 anos,MASCULINO,CASADO,GOIANA,Jardim Bom Jesus,Gestão de Seguros,2,,5,,pofem29633@1heizi.com
219,ABRAMO Freitas,6/29/1970,51,maior que 50 anos,MASCULINO,CASADO,GOIANA,Parque Balneário,Logística,2,,6,,pofem29633@1heizi.com
220,ACADIO Dias,4/24/1970,51,maior que 50 anos,MASCULINO,CASADO,GOIANA,Vale da Serra,Marketing,3,,8,,pofem29633@1heizi.com
224,ABISMAEL Almeida,11/3/1968,53,maior que 50 anos,MASCULINO,CASADO,GOIANA,Caraíbas,Segurança Pública,1,,6,,pofem29633@1heizi.com
226,ABNER Almeida,3/12/1967,55,maior que 50 anos,MASCULINO,CASADO,GOIANA,José Viandeli,Empresário,2,,8,,pofem29633@1heizi.com
234,14133 Costa,1/14/1998,23,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Jardim Guanabara,Estudante,0,,8,,pofem29633@1heizi.com
236,ACARCIO Campos,1/14/1998,23,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Vila Clemente,Estudante,0,,6,,pofem29633@1heizi.com
237,ABISAI Carvalho,1/14/1998,23,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Guarema,Estudante,0,,10,,pofem29633@1heizi.com
239,ABSALAO Monteiro,1/14/1998,23,18 a 30 anos,MASCULINO,CASADO,GOIANA,Residencial Guanabara,Estudante,0,,1,,pofem29633@1heizi.com
245,ABISAI Oliveira,1/14/1998,23,18 a 30 anos,MASCULINO,CASADO,GOIANA,Antônio Carlos Pires,Estudante,0,,4,,pofem29633@1heizi.com
247,ADNAEL Araújo,5/2/1960,61,maior que 50 anos,MASCULINO,CASADO,GOIANA,Mansões Goianas,Balconista,3,,2,,pofem29633@1heizi.com
275,ADNALDO Rodrigues,5/6/1991,30,31 a 50 anos,MASCULINO,DIVORCIADO,GOIANA,João Paulo II,Gestão de Segurança Privada,3,,8,,pofem29633@1heizi.com
285,ADNAEL Santos,11/26/1997,23,18 a 30 anos,MASCULINO,SEPARADO,GOIANA,Jardim Ipê,Vendedor (a),2,,7,,pofem29633@1heizi.com
290,ABRAHAM Barros,1/11/1989,32,31 a 50 anos,MASCULINO,SEPARADO,GOIANA,Panorama Parque,Empresário,3,,5,,pofem29633@1heizi.com
298,ABRAHAM Rocha,8/29/1999,22,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Morada do Ipê,Estudante,0,,6,,pofem29633@1heizi.com
306,ABRAAO Ribeiro,11/21/1991,29,18 a 30 anos,MASCULINO,SOLTEIRO,GOIANA,Morumbi,Vendedor (a),1,,7,,pofem29633@1heizi.com
313,ABUD Barbosa,3/25/1986,35,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,São Judas Tadeu,Empresário,1,,2,,pofem29633@1heizi.com
315,ABISAI Pereira,7/5/1984,37,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Asa Branca,Dentista,1,,9,,pofem29633@1heizi.com
319,ADISON Nascimento,10/10/1982,39,31 a 50 anos,MASCULINO,SOLTEIRO,GOIANA,Felicidade,Vendedor (a),0,,4,,pofem29633@1heizi.com
333,ADMAR MENDES JÚNIOR,1/21/1970,52,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Itamaracá,Ciências Econômicas,2,,1,,pofem29633@1heizi.com
336,ABSAIR Ribeiro,12/28/1967,54,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Residencial das Acácias,Gastronomia,3,,8,,pofem29633@1heizi.com
339,ADRA Fernandes,11/26/1965,56,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Maria Dilce,Gestão de Segurança Privada,1,,8,,pofem29633@1heizi.com
340,289 Dias,4/2/1964,58,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Pindorama,Gestão de Seguros,3,,7,,pofem29633@1heizi.com
344,14133 Oliveira,12/7/1959,62,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Jardim Pompeia,Hotelaria,1,,3,,pofem29633@1heizi.com
345,ABSAIR Alves,7/11/1959,62,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Residencial dos Ipês,Logística,1,,4,,pofem29633@1heizi.com
346,ABISSALAO Lima,3/28/1959,63,maior que 50 anos,MASCULINO,SOLTEIRO,GOIANA,Gentil Meireles,Marketing,2,,6,,pofem29633@1heizi.com
368,ADRIAN Monteiro,1/9/1987,34,31 a 50 anos,MASCULINO,VIÚVO,GOIANA,Nossa Morada,Oftálmica,2,,4,,pofem29633@1heizi.com
369,ABRAHAM Martins,4/26/1986,35,31 a 50 anos,MASCULINO,VIÚVO,GOIANA,Morada do Bosque,Optometria,3,,1,,pofem29633@1heizi.com
371,32296 Pinto,12/19/1982,39,31 a 50 anos,MASCULINO,VIÚVO,GOIANA,Parque das Nações,Estética e Cosmética,1,,1,,pofem29633@1heizi.com
375,ADRIAN Mendes,8/10/1978,43,31 a 50 anos,MASCULINO,VIÚVO,GOIANA,Orlando de Morais,Gerontologia,1,,9,,pofem29633@1heizi.com
377,ABISAEL Costa,1/10/1977,45,31 a 50 anos,MASCULINO,VIÚVO,GOIANA,Alice Barbosa,Gestão em Saúde,0,,9,,pofem29633@1heizi.com
403,ADELAR Oliveira,1/2/1996,25,18 a 30 anos,FEMININO,SOLTEIRO,GOIANA,Humaitá,Optometria,1,,4,,pofem29633@1heizi.com
415,ACACIA Moura,4/22/1991,30,31 a 50 anos,FEMININO,CASADO,GOIANA,Shangri-lá,Negócios Imobiliários,1,,6,,pofem29633@1heizi.com
417,ABKEILA Gomes,1/23/1991,30,31 a 50 anos,FEMININO,CASADO,GOIANA,Hugo de Moraes,Processos Gerenciais,0,,7,,pofem29633@1heizi.com
419,ABNOAN Nascimento,7/8/1990,31,31 a 50 anos,FEMININO,CASADO,GOIANA,Licardino Ney,Turismo,0,,8,,pofem29633@1heizi.com
437,ADRELINA Moura,7/13/1983,38,31 a 50 anos,FEMININO,CASADO,GOIANA,Parque dos Cisnes,Vendedor (a),0,,2,,pofem29633@1heizi.com
439,ABISAGUE Santos,9/2/1982,39,31 a 50 anos,FEMININO,CASADO,GOIANA,Antônio Barbosa,Vendedor (a),0,,7,,pofem29633@1heizi.com
443,ADNA GADELHA,1/5/1981,41,31 a 50 anos,FEMININO,CASADO,GOIANA,Jardim Balneário Meia Ponte,Empresário,0,,6,,pofem29633@1heizi.com
457,ADRELINA Castro,5/18/1976,45,31 a 50 anos,FEMININO,CASADO,GOIANA,Portal da Mata,Gestão Pública,3,,0,,pofem29633@1heizi.com
493,221 Lima,12/9/1962,59,maior que 50 anos,FEMININO,DIVORCIADO,GOIANA,Mansões do Campus,Vendedor (a),2,,1,,pofem29633@1heizi.com
499,ADILENE FIALHO,3/24/1959,63,maior que 50 anos,FEMININO,DIVORCIADO,GOIANA,Itanhangá,Personal Treiner,2,,6,,pofem29633@1heizi.com
1,Edmilson Torres,6/27/1966,55,maior que 50 anos,MASCULINO,CASADO,JOÃO_PESSOA,Água Fria,Vendedor (a),1,99001,2,,pofem29633@1heizi.com
2,Margarete Araújo,5/4/1971,50,31 a 50 anos,FEMININO,SEPARADO,JOÃO_PESSOA,Anatólia,Dentista,2,99002,0,,pofem29633@1heizi.com
3,Rogério Marcolino,1/27/1987,34,31 a 50 anos,MASCULINO,SOLTEIRO,JOÃO_PESSOA,Bairros das Indústrias,Vendedor (a),0,99003,1,,pofem29633@1heizi.com
4,Eduardo Henrique Medeiros,5/23/2000,21,18 a 30 anos,MASCULINO,SOLTEIRO,JOÃO_PESSOA,Bancários,Estudante,0,99004,0,,pofem29633@1heizi.com
7,Wellington Rodrigues,8/15/1988,33,31 a 50 anos,MASCULINO,CASADO,JOÃO_PESSOA,Cidade dos Colibris,Bancário,1,99007,6,,pofem29633@1heizi.com
8,Felipe Santos,1/29/1945,77,maior que 50 anos,MASCULINO,DIVORCIADO,JOÃO_PESSOA,Cidade Verde,aposentado,4,99008,8,,pofem29633@1heizi.com
10,Samuel Macena,8/30/1981,40,31 a 50 anos,MASCULINO,SOLTEIRO,JOÃO_PESSOA,Colinas do Sul,Promotor de Vendas,0,99010,5,,pofem29633@1heizi.com
13,Raquel ataede,2/15/1979,42,31 a 50 anos,FEMININO,CASADO,JOÃO_PESSOA,Costa e Silva,Bibliotecaria,2,99013,2,,pofem29633@1heizi.com
14,Lindalva Firmino,10/13/1962,59,maior que 50 anos,FEMININO,VIÚVO,JOÃO_PESSOA,Cuiá,Vendedor (a),3,99014,4,,pofem29633@1heizi.com
15,Edinarte Basílio,4/16/2005,16,Até 18 anos,MASCULINO,SOLTEIRO,JOÃO_PESSOA,Distrito Industrial,Estudante,0,99015,6,,pofem29633@1heizi.com
18,Kaline Brito,9/3/1963,58,maior que 50 anos,FEMININO,SEPARADO,JOÃO_PESSOA,Ernâni Sátiro,comerciante,3,99018,1,,pofem29633@1heizi.com
